City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,dryden,49.7833,-92.7503,17.16,72,100,4.12,CA,1721762501
84,kodiak,57.79,-152.4072,11.73,100,100,4.12,US,1721762502
85,sarina,-21.4333,149.2167,18.48,1,74,3.88,AU,1721762504
86,la'ie,21.6477,-157.9253,27.98,82,64,4.02,US,1721762505
87,mahikeng,-25.8652,25.6442,16.99,16,1,1.54,ZA,1721762506
88,kushiro,42.975,144.3747,20.53,94,78,1.54,JP,1721762507
89,vadso,70.0744,29.7487,25.49,60,0,3.09,NO,1721762509
90,ta`u,-14.2336,-169.5144,26.5,68,59,8.79,AS,1721762510
91,talnakh,69.4865,88.3972,12.88,58,100,1.52,RU,1721762512
92,wewak,-3.5534,143.6268,26.13,89,100,6.22,PG,1721762513
93,iskateley,67.6803,53.1512,8.53,84,0,4.23,RU,1721762515
94,kostomuksha,64.571,30.5767,18.96,65,8,1.54,RU,1721762516
95,puerto ayora,-0.7393,-90.3518,25.98,81,100,5.29,EC,1721762518
96,minas de marcona,-15.2119,-75.1103,16.85,56,0,8.85,PE,1721762519
97,margaret river,-33.95,115.0667,12.38,65,99,4.88,AU,1721762520
98,selfoss,63.9331,-20.9971,11.69,98,100,7.33,IS,1721762521
99,feijo,-8.1642,-70.3536,36.33,26,0,1.72,BR,1721762522
100,koh kong,11.6175,102.9806,26.31,86,100,6.11,KH,1721762524
101,isafjordur,66.0755,-23.124,11.02,82,100,2.57,IS,1721762525
102,misratah,32.3754,15.0925,27.15,68,6,7.01,LY,1721762526
103,arraial do cabo,-22.9661,-42.0278,22.92,64,0,4.63,BR,1721762527
104,thompson,55.7435,-97.8558,22.09,43,20,2.57,CA,1721762528
105,forbes,-33.3833,148.0167,4.95,87,4,1.67,AU,1721762530
106,prince george,53.9166,-122.753,18.69,47,75,6.69,CA,1721762382
107,ribeira grande,38.5167,-28.7,25.22,69,20,4.02,PT,1721762532
108,keflavik,64.0049,-22.5624,10.95,100,100,8.23,IS,1721762533
109,vilyuchinsk,52.9306,158.4028,11.15,97,100,1.68,RU,1721762534
110,dudinka,69.4058,86.1778,11.52,53,100,8.91,RU,1721762535
111,aksu,41.1231,80.2644,26.31,42,100,9.94,CN,1721762536
112,luang namtha,20.9497,101.4011,22.96,97,100,0.91,LA,1721762538
113,crane,31.3974,-102.3501,29.09,37,1,4.0,US,1721762539
114,yara,20.2753,-76.9533,36.19,39,48,3.33,CU,1721762540
115,amga,60.8953,131.9608,12.34,97,14,0.47,RU,1721762541
116,kamen'-rybolov,44.7481,132.0403,19.29,95,92,2.82,RU,1721762542
117,chibougamau,49.9168,-74.3659,17.79,45,100,1.54,CA,1721762543
118,greenville,35.6127,-77.3663,27.09,100,100,2.06,US,1721762545
119,nahrin,36.0649,69.1334,27.08,28,46,0.85,AF,1721762546
120,tocopilla,-22.092,-70.1979,19.56,65,63,6.33,CL,1721762547
121,sinop,41.7711,34.8709,18.81,89,0,1.54,TR,1721762548
122,el gouna,27.3942,33.6782,37.05,31,0,6.35,EG,1721762549
123,newnham,-41.3833,147.1333,10.73,81,93,6.17,AU,1721762551
124,pangody,65.85,74.4859,9.05,68,87,4.63,RU,1721762552
125,nikolayevsk-on-amure,53.1406,140.73,12.54,99,100,1.99,RU,1721762553
126,santa marta,11.2408,-74.199,32.16,71,40,1.54,CO,1721762554
127,san-pedro,4.7485,-6.6363,24.29,85,72,3.51,CI,1721762555
128,katsuura,35.1333,140.3,25.98,93,100,8.43,JP,1721762556
129,nuuk,64.1835,-51.7216,8.34,81,20,6.17,GL,1721762558
130,karatas,36.582,35.3701,30.08,84,7,5.77,TR,1721762559
131,poronaysk,49.2167,143.1167,14.29,90,95,1.82,RU,1721762560
132,kaa-khem,51.6833,94.7333,17.02,71,100,1.68,RU,1721762561
133,shush,32.1942,48.2436,38.74,12,0,1.44,IR,1721762562
134,zemio,5.0314,25.1361,21.19,93,100,0.31,CF,1721762563
135,penhalonga,-18.8911,32.6978,12.59,41,0,1.66,ZW,1721762566
136,santa elena de uairen,4.6167,-61.1333,24.19,74,100,3.5,VE,1721762567
137,moree,-29.4667,149.85,6.75,70,0,3.12,AU,1721762568
138,constantia,44.1833,28.65,24.38,63,0,2.88,RO,1721762569
139,gadzhiyevo,69.2551,33.3362,19.25,61,100,1.57,RU,1721762570
140,port saint john's,-31.6229,29.5448,17.18,60,2,3.1,ZA,1721762572
141,olonkinbyen,70.9221,-8.7187,3.91,93,100,7.61,SJ,1721762573
142,monticello,45.3055,-93.7941,22.19,81,100,4.63,US,1721762574
143,darwin,-12.4611,130.8418,18.99,82,100,0.0,AU,1721762576
144,kailua-kona,19.6406,-155.9956,29.04,69,0,2.57,US,1721762577
145,kulhudhuffushi,6.6221,73.07,28.32,80,100,4.83,MV,1721762579
146,ende,-8.8432,121.6623,20.2,94,100,0.69,ID,1721762580
147,aasiaat,68.7098,-52.8699,3.83,88,82,1.6,GL,1721762582
148,weno,7.4515,151.8468,25.97,94,100,1.54,FM,1721762583
149,moa,20.6569,-74.9403,30.97,67,19,7.27,CU,1721762584
150,vorgashor,67.5833,63.95,9.24,72,49,3.98,RU,1721762586
151,fort bragg,35.139,-79.006,34.16,61,75,5.14,US,1721762587
152,trancas,-26.2314,-65.2803,25.11,35,1,7.56,AR,1721762589
153,silao,20.9333,-101.4333,24.21,53,75,4.63,MX,1721762570
154,bargaal,11.2864,51.0773,30.87,54,93,11.53,SO,1721762592
155,dawei,14.0833,98.2,25.34,93,100,4.08,MM,1721762593
156,ghanzi,-21.5667,21.7833,18.76,14,0,3.91,BW,1721762594
157,san patricio,28.017,-97.5169,33.4,56,71,4.35,US,1721762595
158,sechura,-5.5569,-80.8222,24.08,55,8,6.65,PE,1721762596
159,temiskaming shores,47.4938,-79.7153,15.89,72,100,3.85,CA,1721762598
160,miquelon,47.0975,-56.3814,20.0,86,100,6.68,PM,1721762599
161,veraval,20.9,70.3667,27.96,86,100,10.51,IN,1721762600
162,visakhapatnam,17.69,83.2093,26.94,94,75,5.14,IN,1721762601
163,uturoa,-16.7333,-151.4333,25.35,66,76,8.39,PF,1721762602
164,hithadhoo,-0.6,73.0833,28.51,77,100,4.42,MV,1721762603
165,guadalupe y calvo,26.1,-106.9667,20.09,70,80,3.56,MX,1721762605
166,mpongwe,-13.5091,28.155,18.72,27,0,3.72,ZM,1721762606
167,katsuren-haebaru,26.3369,127.8719,30.22,84,75,9.77,JP,1721762607
168,papatowai,-46.5619,169.4708,9.16,70,100,4.33,NZ,1721762608
169,alaghsas,17.0187,8.0168,37.62,28,14,2.13,NE,1721762609
170,enewetak,11.3474,162.3373,28.38,78,29,7.12,MH,1721762610
171,alamos,27.0167,-108.9333,30.83,51,97,1.51,MX,1721762612
172,knysna,-34.0363,23.0471,12.36,81,100,3.03,ZA,1721762614
173,basco,20.4487,121.9702,27.92,91,100,14.32,PH,1721762615
174,flying fish cove,-10.4217,105.6791,23.82,83,75,3.6,CX,1721762616
175,utrik,11.2278,169.8474,27.74,79,38,6.97,MH,1721762617
176,cavinti,14.2448,121.508,23.68,96,100,3.7,PH,1721762619
177,lebu,-37.6167,-73.65,11.76,84,98,6.74,CL,1721762620
178,blitar,-8.0983,112.1681,21.93,92,100,1.2,ID,1721762621
179,auki,-8.7676,160.7034,24.51,90,56,1.6,SB,1721762622
180,mana,5.6592,-53.7767,29.3,70,66,5.87,GF,1721762623
181,mount pearl,47.5166,-52.7813,24.07,47,100,6.17,CA,1721762586
182,valle de la pascua,9.2155,-66.0073,24.25,95,100,1.76,VE,1721762626
183,zhytomyr,50.2649,28.6767,20.23,58,5,2.09,UA,1721762539
184,baki,-7.6128,110.7839,23.53,82,100,2.52,ID,1721762629
185,berezovyy,51.6667,135.7,14.2,97,63,1.42,RU,1721762630
186,novo aripuana,-5.1206,-60.3797,37.18,22,4,1.82,BR,1721762631
187,yashikira,9.7667,3.4,23.42,92,94,1.65,NG,1721762632
188,christchurch,-43.5333,172.6333,4.82,79,3,3.09,NZ,1721762379
189,trincomalee,8.5711,81.2335,27.89,76,100,8.61,LK,1721762636
190,zhalantun,48.0,122.7167,22.23,65,100,2.66,CN,1721762637
191,fyodorovka,53.6314,62.7078,12.73,85,100,3.49,KZ,1721762638
192,bardai,11.65,7.2333,22.69,92,100,2.0,NG,1721762639
193,kapa'a,22.0752,-159.319,26.18,81,100,8.23,US,1721762641
194,caluula,11.9661,50.7569,31.06,63,99,1.63,SO,1721762642
195,kristiansund,63.1115,7.732,15.03,82,75,1.54,NO,1721762643
196,tupaciguara,-18.5922,-48.705,28.12,21,0,3.9,BR,1721762644
197,carlinville,39.2798,-89.8818,30.02,59,0,2.58,US,1721762645
198,berezovskiy,55.6,86.2,19.23,94,1,0.55,RU,1721762646
199,waveland,30.2869,-89.3762,31.69,70,75,4.12,US,1721762648
200,taunsa,30.7048,70.6505,41.21,27,100,3.63,PK,1721762649
201,springbok,-29.6643,17.8865,7.62,61,27,1.62,ZA,1721762650
202,kuusamo,65.9667,29.1833,22.02,53,0,1.03,FI,1721762653
203,niafunke,15.9322,-3.9906,35.52,38,100,3.62,ML,1721762654
204,aldinga beach,-35.2793,138.4604,14.81,56,100,10.05,AU,1721762655
205,north shore,-36.8,174.75,11.37,80,88,1.34,NZ,1721762656
206,tommot,58.9564,126.2925,15.36,92,8,0.52,RU,1721762657
207,kavaratti,10.5669,72.642,28.07,86,100,7.09,IN,1721762659
208,nar'yan-mar,67.6713,53.087,8.43,85,0,4.24,RU,1721762660
209,mantua,45.1667,10.7833,29.49,70,34,1.74,IT,1721762661
210,port elizabeth,-33.918,25.5701,15.17,92,20,7.72,ZA,1721762662
211,kununurra,-15.7667,128.7333,10.99,82,56,0.0,AU,1721762663
212,olyokminsk,60.3736,120.4264,17.18,84,33,2.72,RU,1721762548
213,ust-nera,64.5667,143.2,17.63,85,92,1.06,RU,1721762666
